distance_meters,duration_seconds,effort_type,effort_value,intensity_zone,interval_rest_seconds,intervals,set_type,source_id,target_calories,tempo,work_seconds
,,RIR,5.0,,,,,69bf3a17-61f2-4409-9c3d-382e7046a7a6,,,
,,RIR,5.0,,,,,af457977-e7c7-4dfc-a412-d027ab30a3c0,,,
,,RIR,5.0,,,,,5ce79cbc-964c-43cc-862b-2be6f4ce464b,,,
,,RIR,5.0,,,,,d6bfbae2-8d5e-457d-ac0b-0e4d2ee1161e,,,
,,RIR,5.0,,,,,fd52c20f-72c2-4bb1-a47e-6e9d88a961c5,,,
,,RIR,5.0,,,,,7a60db56-1102-4f3d-b667-5d20cb10f0dc,,,
,,RIR,5.0,,,,,42b1b247-e52e-4844-80d5-0a603bb81d30,,,
,,RIR,5.0,,,,,217a1a07-47d8-4758-95be-6b2d0dc2e2e5,,,
,,RIR,5.0,,,,,b36f337e-c918-4ddf-952e-fba0e985c151,,,
,,RIR,5.0,,,,,07e5c985-4c28-4b40-86a3-bd35280c3985,,,
,,RIR,5.0,,,,,76fbc66b-8aea-4e9d-8d96-a152a04eca31,,,
,,RIR,5.0,,,,,e719d9c3-0ed0-4ed5-b142-7b8641f58343,,,
,,RIR,5.0,,,,,ac5c8677-5646-4615-9c17-6601797d1a67,,,
,,RIR,5.0,,,,,fde075ac-bb6e-4b0a-9805-fba28821102c,,,
,,RIR,5.0,,,,,8caa23db-b33a-4e31-8c1d-baeff038c9e8,,,
,,RIR,5.0,,,,,c0d7ef9b-fe91-49ad-9796-b795b3e5e82e,,,
,,RIR,5.0,,,,,339adc91-9b1c-49b2-b657-d0d4ef3555f6,,,
